exercise_name,pred_count,gold_count,tp,fp,fn,precision,recall,f1,jaccard,accuracy_exact
ps_python_dict_values,8,8,5,3,3,0.6250,0.6250,0.6250,0.4545,0.0000
ps_python_for_odd_or_even,5,6,4,1,2,0.8000,0.6667,0.7273,0.5714,0.0000
ps_python_iteration_addition,3,8,2,1,6,0.6667,0.2500,0.3636,0.2222,0.0000
ps_python_iteration_multiplication,6,8,4,2,4,0.6667,0.5000,0.5714,0.4000,0.0000
ps_python_list_iteration_zoo,5,5,3,2,2,0.6000,0.6000,0.6000,0.4286,0.0000
ps_python_list_to_dict,7,8,4,3,4,0.5714,0.5000,0.5333,0.3636,0.0000
ps_python_modulo_is_even,3,4,2,1,2,0.6667,0.5000,0.5714,0.4000,0.0000
ps_python_nested_calls,6,6,4,2,2,0.6667,0.6667,0.6667,0.5000,0.0000
ps_python_nested_ifs,5,5,3,2,2,0.6000,0.6000,0.6000,0.4286,0.0000
ps_python_nested_lists_indexing,7,6,4,3,2,0.5714,0.6667,0.6154,0.4444,0.0000
ps_python_nested_loops,3,9,2,1,7,0.6667,0.2222,0.3333,0.2000,0.0000
ps_python_printing_file_contents,9,9,6,3,3,0.6667,0.6667,0.6667,0.5000,0.0000
ps_python_recursive_factorial,2,6,2,0,4,1.0000,0.3333,0.5000,0.3333,0.0000
ps_python_string_indexing,6,6,4,2,2,0.6667,0.6667,0.6667,0.5000,0.0000
ps_python_string_join,5,7,2,3,5,0.4000,0.2857,0.3333,0.2000,0.0000
ps_python_swap,1,2,0,1,2,0.0000,0.0000,0.0000,0.0000,0.0000
ps_python_try_adding,3,5,2,1,3,0.6667,0.4000,0.5000,0.3333,0.0000
ps_python_try_except,2,9,1,1,8,0.5000,0.1111,0.1818,0.1000,0.0000
ps_python_xor,4,4,3,1,1,0.7500,0.7500,0.7500,0.6000,0.0000
ps_return_bigger_or_none,5,3,1,4,2,0.2000,0.3333,0.2500,0.1429,0.0000
ps_simple_function,3,4,1,2,3,0.3333,0.2500,0.2857,0.1667,0.0000
ps_simple_params,4,6,2,2,4,0.5000,0.3333,0.4000,0.2500,0.0000
py_account2,6,14,3,3,11,0.5000,0.2143,0.3000,0.1765,0.0000
py_adjacent_consecutive,9,9,6,3,3,0.6667,0.6667,0.6667,0.5000,0.0000
py_adjacent_greater,9,10,5,4,5,0.5556,0.5000,0.5263,0.3571,0.0000
py_average_even_nums,16,12,10,6,2,0.6250,0.8333,0.7143,0.5556,0.0000
py_average_float,15,13,10,5,3,0.6667,0.7692,0.7143,0.5556,0.0000
py_average_list_elements,11,14,7,4,7,0.6364,0.5000,0.5600,0.3889,0.0000
py_bmi_calculator,9,8,6,3,2,0.6667,0.7500,0.7059,0.5455,0.0000
