exercise_name,pred_count,gold_count,tp,fp,fn,precision,recall,f1,jaccard,accuracy_exact
ps_python_dict_keys,8,9,7,1,2,0.8750,0.7778,0.8235,0.7000,0.0000
ps_python_dict_values,9,8,5,4,3,0.5556,0.6250,0.5882,0.4167,0.0000
ps_python_for_odd_or_even,7,6,5,2,1,0.7143,0.8333,0.7692,0.6250,0.0000
ps_python_iteration_addition,8,8,5,3,3,0.6250,0.6250,0.6250,0.4545,0.0000
ps_python_iteration_multiplication,10,8,5,5,3,0.5000,0.6250,0.5556,0.3846,0.0000
ps_python_list_iteration_zoo,6,5,3,3,2,0.5000,0.6000,0.5455,0.3750,0.0000
ps_python_list_to_dict,11,8,5,6,3,0.4545,0.6250,0.5263,0.3571,0.0000
ps_python_modulo_is_even,5,4,3,2,1,0.6000,0.7500,0.6667,0.5000,0.0000
ps_python_nested_calls,7,6,4,3,2,0.5714,0.6667,0.6154,0.4444,0.0000
ps_python_nested_ifs,6,5,3,3,2,0.5000,0.6000,0.5455,0.3750,0.0000
ps_python_nested_lists_indexing,8,6,4,4,2,0.5000,0.6667,0.5714,0.4000,0.0000
ps_python_nested_loops,8,9,5,3,4,0.6250,0.5556,0.5882,0.4167,0.0000
ps_python_printing_file_contents,11,9,7,4,2,0.6364,0.7778,0.7000,0.5385,0.0000
ps_python_recursive_factorial,6,6,5,1,1,0.8333,0.8333,0.8333,0.7143,0.0000
ps_python_string_indexing,7,6,4,3,2,0.5714,0.6667,0.6154,0.4444,0.0000
ps_python_string_join,11,7,5,6,2,0.4545,0.7143,0.5556,0.3846,0.0000
ps_python_swap,2,2,0,2,2,0.0000,0.0000,0.0000,0.0000,0.0000
ps_python_try_adding,6,5,3,3,2,0.5000,0.6000,0.5455,0.3750,0.0000
ps_python_try_except,9,9,6,3,3,0.6667,0.6667,0.6667,0.5000,0.0000
ps_python_xor,5,4,3,2,1,0.6000,0.7500,0.6667,0.5000,0.0000
ps_return_bigger_or_none,7,3,2,5,1,0.2857,0.6667,0.4000,0.2500,0.0000
ps_simple_function,5,4,1,4,3,0.2000,0.2500,0.2222,0.1250,0.0000
ps_simple_params,4,6,2,2,4,0.5000,0.3333,0.4000,0.2500,0.0000
py_account2,13,14,9,4,5,0.6923,0.6429,0.6667,0.5000,0.0000
py_adjacent_consecutive,10,9,4,6,5,0.4000,0.4444,0.4211,0.2667,0.0000
py_adjacent_greater,12,10,7,5,3,0.5833,0.7000,0.6364,0.4667,0.0000
py_average_even_nums,17,12,10,7,2,0.5882,0.8333,0.6897,0.5263,0.0000
py_average_float,15,13,10,5,3,0.6667,0.7692,0.7143,0.5556,0.0000
py_average_list_elements,15,14,9,6,5,0.6000,0.6429,0.6207,0.4500,0.0000
py_bmi_calculator,10,8,6,4,2,0.6000,0.7500,0.6667,0.5000,0.0000
py_bmi_calculator2,12,10,7,5,3,0.5833,0.7000,0.6364,0.4667,0.0000
py_boolean_dry_hot,9,8,6,3,2,0.6667,0.7500,0.7059,0.5455,0.0000
py_boolean_dry_hot2,9,8,6,3,2,0.6667,0.7500,0.7059,0.5455,0.0000
py_boolean_dry_hot3,9,8,6,3,2,0.6667,0.7500,0.7059,0.5455,0.0000
py_boolean_dry_hot4,9,8,6,3,2,0.6667,0.7500,0.7059,0.5455,0.0000
py_char_dict,19,18,10,9,8,0.5263,0.5556,0.5405,0.3704,0.0000
py_check_adjacent,12,8,6,6,2,0.5000,0.7500,0.6000,0.4286,0.0000
py_check_age,15,15,10,5,5,0.6667,0.6667,0.6667,0.5000,0.0000
py_check_age2,19,16,11,8,5,0.5789,0.6875,0.6286,0.4583,0.0000
py_check_product_code,15,16,8,7,8,0.5333,0.5000,0.5161,0.3478,0.0000
py_check_product_code2,19,18,12,7,6,0.6316,0.6667,0.6486,0.4800,0.0000
py_concat_char_two_str,9,8,5,4,3,0.5556,0.6250,0.5882,0.4167,0.0000
py_concat_char_two_str2,11,9,4,7,5,0.3636,0.4444,0.4000,0.2500,0.0000
py_concat_str_num,8,8,5,3,3,0.6250,0.6250,0.6250,0.4545,0.0000
py_concat_str_num2,9,9,6,3,3,0.6667,0.6667,0.6667,0.5000,0.0000
py_concat_string_num3,10,8,6,4,2,0.6000,0.7500,0.6667,0.5000,0.0000
py_digits,10,8,5,5,3,0.5000,0.6250,0.5556,0.3846,0.0000
py_display_time2,8,7,5,3,2,0.6250,0.7143,0.6667,0.5000,0.0000
py_divisor,10,9,6,4,3,0.6000,0.6667,0.6316,0.4615,0.0000
py_f_to_c_conversion,10,8,6,4,2,0.6000,0.7500,0.6667,0.5000,0.0000
py_fahrenheit_to_celsius,3,9,2,1,7,0.6667,0.2222,0.3333,0.2000,0.0000
py_fail_course,8,8,5,3,3,0.6250,0.6250,0.6250,0.4545,0.0000
py_fail_course2,9,8,6,3,2,0.6667,0.7500,0.7059,0.5455,0.0000
py_fail_course3,9,8,6,3,2,0.6667,0.7500,0.7059,0.5455,0.0000
py_file_input_stat,24,20,15,9,5,0.6250,0.7500,0.6818,0.5172,0.0000
py_find_average,11,12,8,3,4,0.7273,0.6667,0.6957,0.5333,0.0000
py_first_char_words_dict,27,20,16,11,4,0.5926,0.8000,0.6809,0.5161,0.0000
py_if_else_grade,10,8,6,4,2,0.6000,0.7500,0.6667,0.5000,0.0000
py_if_else_num,9,7,5,4,2,0.5556,0.7143,0.6250,0.4545,0.0000
py_if_else_wage,12,10,8,4,2,0.6667,0.8000,0.7273,0.5714,0.0000
py_if_else_wage2,13,11,8,5,3,0.6154,0.7273,0.6667,0.5000,0.0000
py_ifelse_odd_even,9,8,6,3,2,0.6667,0.7500,0.7059,0.5455,0.0000
py_ifelseif_grade2,7,6,4,3,2,0.5714,0.6667,0.6154,0.4444,0.0000
py_input,9,7,5,4,2,0.5556,0.7143,0.6250,0.4545,0.0000
py_input2,9,7,5,4,2,0.5556,0.7143,0.6250,0.4545,0.0000
py_input3,10,8,6,4,2,0.6000,0.7500,0.6667,0.5000,0.0000
py_input4,10,9,7,3,2,0.7000,0.7778,0.7368,0.5833,0.0000
py_input_stat2,24,23,18,6,5,0.7500,0.7826,0.7660,0.6207,0.0000
py_largest_divisor,9,8,5,4,3,0.5556,0.6250,0.5882,0.4167,0.0000
py_list2d_basic,9,6,2,7,4,0.2222,0.3333,0.2667,0.1538,0.0000
py_list2d_basic2,9,6,2,7,4,0.2222,0.3333,0.2667,0.1538,0.0000
py_list2d_basic3,7,6,2,5,4,0.2857,0.3333,0.3077,0.1818,0.0000
py_list_basic,7,5,2,5,3,0.2857,0.4000,0.3333,0.2000,0.0000
py_list_basic2,7,5,2,5,3,0.2857,0.4000,0.3333,0.2000,0.0000
py_list_basic3,7,5,2,5,3,0.2857,0.4000,0.3333,0.2000,0.0000
py_list_change,13,11,7,6,4,0.5385,0.6364,0.5833,0.4118,0.0000
py_list_fill,9,10,6,3,4,0.6667,0.6000,0.6316,0.4615,0.0000
py_list_fill_user_input,10,7,5,5,2,0.5000,0.7143,0.5882,0.4167,0.0000
py_list_min,14,12,8,6,4,0.5714,0.6667,0.6154,0.4444,0.0000
py_list_min_max,14,11,8,6,3,0.5714,0.7273,0.6400,0.4706,0.0000
py_list_process_elements,9,11,4,5,7,0.4444,0.3636,0.4000,0.2500,0.0000
py_list_rotate,13,14,5,8,9,0.3846,0.3571,0.3704,0.2273,0.0000
py_list_rotate_left_twice,12,12,5,7,7,0.4167,0.4167,0.4167,0.2632,0.0000
