exercise_name,pred_count,gold_count,tp,fp,fn,precision,recall,f1,jaccard,accuracy_exact
ps_python_dict_keys,15,12,11,4,1,0.7333,0.9167,0.8148,0.6875,0.0000
ps_python_dict_values,12,12,12,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ps_python_for_odd_or_even,6,12,6,0,6,1.0000,0.5000,0.6667,0.5000,0.0000
ps_python_iteration_addition,9,11,9,0,2,1.0000,0.8182,0.9000,0.8182,0.0000
ps_python_iteration_multiplication,12,12,12,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ps_python_list_iteration_zoo,9,9,9,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ps_python_list_to_dict,10,11,10,0,1,1.0000,0.9091,0.9524,0.9091,0.0000
ps_python_modulo_is_even,10,9,9,1,0,0.9000,1.0000,0.9474,0.9000,0.0000
ps_python_nested_calls,7,9,7,0,2,1.0000,0.7778,0.8750,0.7778,0.0000
ps_python_nested_ifs,9,12,7,2,5,0.7778,0.5833,0.6667,0.5000,0.0000
ps_python_nested_lists_indexing,8,8,8,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ps_python_nested_loops,13,13,13,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
ps_python_printing_file_contents,11,14,11,0,3,1.0000,0.7857,0.8800,0.7857,0.0000
ps_python_recursive_factorial,9,10,9,0,1,1.0000,0.9000,0.9474,0.9000,0.0000
ps_python_string_indexing,8,8,6,2,2,0.7500,0.7500,0.7500,0.6000,0.0000
ps_python_string_join,9,11,9,0,2,1.0000,0.8182,0.9000,0.8182,0.0000
ps_python_swap,2,4,2,0,2,1.0000,0.5000,0.6667,0.5000,0.0000
ps_python_try_adding,7,10,7,0,3,1.0000,0.7000,0.8235,0.7000,0.0000
ps_python_try_except,13,16,13,0,3,1.0000,0.8125,0.8966,0.8125,0.0000
ps_python_xor,9,10,8,1,2,0.8889,0.8000,0.8421,0.7273,0.0000
ps_return_bigger_or_none,6,9,5,1,4,0.8333,0.5556,0.6667,0.5000,0.0000
ps_simple_function,4,5,4,0,1,1.0000,0.8000,0.8889,0.8000,0.0000
ps_simple_params,7,8,7,0,1,1.0000,0.8750,0.9333,0.8750,0.0000
py_account2,23,24,22,1,2,0.9565,0.9167,0.9362,0.8800,0.0000
py_adjacent_consecutive,18,18,17,1,1,0.9444,0.9444,0.9444,0.8947,0.0000
py_adjacent_greater,15,17,14,1,3,0.9333,0.8235,0.8750,0.7778,0.0000
py_average_even_nums,21,20,20,1,0,0.9524,1.0000,0.9756,0.9524,0.0000
py_average_float,21,20,19,2,1,0.9048,0.9500,0.9268,0.8636,0.0000
py_average_list_elements,10,18,9,1,9,0.9000,0.5000,0.6429,0.4737,0.0000
py_bmi_calculator,11,13,11,0,2,1.0000,0.8462,0.9167,0.8462,0.0000
py_bmi_calculator2,13,14,13,0,1,1.0000,0.9286,0.9630,0.9286,0.0000
py_boolean_dry_hot,15,16,14,1,2,0.9333,0.8750,0.9032,0.8235,0.0000
py_boolean_dry_hot2,15,16,14,1,2,0.9333,0.8750,0.9032,0.8235,0.0000
py_boolean_dry_hot3,16,18,15,1,3,0.9375,0.8333,0.8824,0.7895,0.0000
py_boolean_dry_hot4,8,18,7,1,11,0.8750,0.3889,0.5385,0.3684,0.0000
py_char_dict,12,18,11,1,7,0.9167,0.6111,0.7333,0.5789,0.0000
py_check_adjacent,15,16,14,1,2,0.9333,0.8750,0.9032,0.8235,0.0000
py_check_age,24,23,22,2,1,0.9167,0.9565,0.9362,0.8800,0.0000
py_check_age2,25,25,24,1,1,0.9600,0.9600,0.9600,0.9231,0.0000
py_check_product_code,19,20,19,0,1,1.0000,0.9500,0.9744,0.9500,0.0000
py_check_product_code2,26,26,25,1,1,0.9615,0.9615,0.9615,0.9259,0.0000
py_concat_char_two_str,11,11,10,1,1,0.9091,0.9091,0.9091,0.8333,0.0000
py_concat_char_two_str2,11,11,11,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
py_concat_str_num,10,10,10,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
py_concat_str_num2,9,11,9,0,2,1.0000,0.8182,0.9000,0.8182,0.0000
py_concat_string_num3,10,10,10,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
py_digits,7,12,7,0,5,1.0000,0.5833,0.7368,0.5833,0.0000
py_display_time2,12,12,12,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
py_divisor,7,12,6,1,6,0.8571,0.5000,0.6316,0.4615,0.0000
py_f_to_c_conversion,12,13,11,1,2,0.9167,0.8462,0.8800,0.7857,0.0000
py_fahrenheit_to_celsius,12,13,12,0,1,1.0000,0.9231,0.9600,0.9231,0.0000
py_fail_course,15,17,14,1,3,0.9333,0.8235,0.8750,0.7778,0.0000
py_fail_course2,17,17,16,1,1,0.9412,0.9412,0.9412,0.8889,0.0000
py_fail_course3,17,16,15,2,1,0.8824,0.9375,0.9091,0.8333,0.0000
py_file_input_stat,16,23,16,0,7,1.0000,0.6957,0.8205,0.6957,0.0000
py_find_average,19,18,18,1,0,0.9474,1.0000,0.9730,0.9474,0.0000
py_first_char_words_dict,16,20,15,1,5,0.9375,0.7500,0.8333,0.7143,0.0000
py_if_else_grade,11,12,11,0,1,1.0000,0.9167,0.9565,0.9167,0.0000
py_if_else_num,12,14,12,0,2,1.0000,0.8571,0.9231,0.8571,0.0000
