batch_id,gold_view,threshold,precision_macro,recall_macro,f1_macro,jaccard_macro,exact_accuracy_macro,precision_micro,recall_micro,f1_micro,jaccard_micro
splits_window_25_code_with_problems/comments_bin=0,parser,4,0.4858,0.5052,0.4934,0.4689,0.1947,0.9135,0.4328,0.5874,0.4158
splits_window_25_code_with_problems/comments_bin=0,parser,3,0.4775,0.5069,0.4898,0.4627,0.1679,0.8961,0.4345,0.5853,0.4137
splits_window_25_code_with_problems/comments_bin=1,parser,5,0.4313,0.4302,0.4298,0.4033,0.0682,0.9149,0.4929,0.6407,0.4713
splits_window_25_code_with_problems/comments_bin=1,parser,4,0.4242,0.4423,0.4323,0.4074,0.0568,0.9001,0.5074,0.6490,0.4803
splits_window_25_code_with_problems/comments_bin=1,parser,3,0.4194,0.4451,0.4309,0.4051,0.0568,0.8903,0.5105,0.6489,0.4803
splits_window_25_code_with_problems/length_lines_bin=0,parser,5,0.5164,0.5061,0.5087,0.4805,0.1679,0.9427,0.3933,0.5550,0.3841
splits_window_25_code_with_problems/length_lines_bin=0,parser,4,0.5059,0.5286,0.5150,0.4916,0.2099,0.9216,0.4112,0.5687,0.3973
splits_window_25_code_with_problems/length_lines_bin=0,parser,3,0.4962,0.5308,0.5109,0.4847,0.1870,0.9024,0.4132,0.5669,0.3955
splits_window_25_code_with_problems/length_lines_bin=1,parser,5,0.4121,0.4052,0.4079,0.3799,0.0455,0.9114,0.5125,0.6561,0.4882
splits_window_25_code_with_problems/length_lines_bin=1,parser,4,0.4043,0.4190,0.4109,0.3848,0.0417,0.8946,0.5290,0.6649,0.4980
splits_window_25_code_with_problems/length_lines_bin=1,parser,3,0.4007,0.4214,0.4100,0.3833,0.0379,0.8858,0.5319,0.6647,0.4977
splits_window_10_code_with_problems/chars_bin=0,parser,5,0.4521,0.4315,0.4387,0.3929,0.0382,0.8832,0.3335,0.4842,0.3194
splits_window_10_code_with_problems/chars_bin=0,parser,4,0.4251,0.4919,0.4543,0.4174,0.0649,0.8298,0.3773,0.5188,0.3502
